question,answer,tech_accuracy,confidence
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",68,43
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",73,51
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",60,47
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",88,79
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",57,59
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",53,56
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,31,29
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",53,45
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",50,57
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,44,37
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",53,30
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,26,36
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",58,27
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",65,26
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",89,83
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",80,62
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",71,57
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",71,71
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",75,45
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",62,50
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",62,19
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",95,71
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",91,82
Explain the concept of REST APIs.,It's an API that lets you download data. ,18,37
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",49,32
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,24,33
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,30,21
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",95,81
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",63,65
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",65,66
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",44,71
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",72,59
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",65,31
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,79,88
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",44,57
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",54,35
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",68,39
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",100,78
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",55,61
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,89,84
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",73,50
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,34,55
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,43,65
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,92,82
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,100,85
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",83,91
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",62,57
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",66,71
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",59,44
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",58,38
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,87,100
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",56,42
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,26,50
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,15,41
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",96,66
What is normalization in a database?,It makes the database normal and easy to read. ,38,39
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,21,28
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",55,64
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,35,32
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,44,26
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,82,82
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",72,52
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",57,68
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",91,87
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",59,75
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",68,47
What is normalization in a database?,It makes the database normal and easy to read. ,31,20
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",93,77
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",66,36
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,28,26
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",74,35
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",86,47
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",54,51
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",62,37
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",99,88
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",90,36
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",62,42
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,42,12
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",67,98
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,31,37
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",61,38
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",88,85
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,32,24
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,91,88
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",60,48
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",61,51
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",50,69
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",55,25
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",52,51
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,93,85
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,97,74
Explain the concept of REST APIs.,It's an API that lets you download data. ,35,62
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",94,88
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",64,55
Explain how a hash map works.,It's just an array that stores things inside it. ,47,61
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,41,12
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",54,47
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,31,45
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",75,77
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,42,47
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,49,41
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",85,80
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",78,80
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",100,76
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,26,6
Explain how a hash map works.,It's just an array that stores things inside it. ,27,30
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",91,100
Explain how a hash map works.,It's just an array that stores things inside it. ,32,37
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",67,75
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",65,63
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,80,82
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,8,38
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",54,67
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",87,95
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,35,34
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",57,38
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",58,54
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",100,94
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",39,34
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",56,69
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",56,40
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",73,39
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",72,61
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",62,36
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,31,20
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",64,58
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,47,45
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",91,70
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,31,27
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",84,85
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",85,85
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",88,87
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",62,69
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,33,45
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,90,98
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,22,44
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,43,41
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",85,92
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",55,39
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",54,49
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,7,38
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",52,47
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",50,39
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,92,79
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",93,66
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,83,79
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,29,37
What is normalization in a database?,It makes the database normal and easy to read. ,37,38
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",51,61
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",53,66
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",49,65
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",49,55
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",72,40
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",58,56
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",64,67
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,30,42
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,86,78
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,26,9
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,86,81
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",91,99
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,85,82
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",76,46
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",91,74
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",82,97
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,90,92
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,90,90
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",94,92
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",87,71
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",43,52
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",100,86
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",70,49
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",41,37
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,35,51
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,38,36
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",91,71
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",46,39
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",88,81
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",56,42
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",83,50
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",46,59
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,13,46
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",55,73
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",66,73
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,86,97
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",62,51
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",77,51
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",64,38
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",60,42
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",94,75
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",50,60
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,97,94
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",42,68
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",51,54
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",42,16
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",50,38
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",45,55
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,85,93
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",67,41
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,94,93
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",72,40
Explain the concept of REST APIs.,It's an API that lets you download data. ,22,51
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",59,41
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",59,52
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",91,85
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",93,96
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,89,75
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",45,26
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",78,92
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",50,55
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,30,9
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",91,83
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",77,80
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,30,51
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",40,46
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",52,47
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",73,44
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,23,37
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",85,81
Explain the concept of REST APIs.,It's an API that lets you download data. ,26,39
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,23,56
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",56,44
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,32,23
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,25,12
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,31,13
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",67,49
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",87,89
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",51,58
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",90,77
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,23,38
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",80,69
Explain the concept of REST APIs.,It's an API that lets you download data. ,24,48
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,30,40
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",69,48
Explain the concept of REST APIs.,It's an API that lets you download data. ,32,41
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",91,74
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",53,52
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,44,23
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,47,77
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,32,33
Explain the concept of REST APIs.,It's an API that lets you download data. ,36,44
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,89,75
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",62,42
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,21,35
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,38,20
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,36,33
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",95,80
Explain the concept of REST APIs.,It's an API that lets you download data. ,35,27
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",59,46
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",60,53
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",86,98
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",54,59
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,30,34
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,0,18
Explain the concept of REST APIs.,It's an API that lets you download data. ,39,44
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",81,41
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",56,56
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",52,45
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",91,81
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",63,27
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",87,83
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",64,49
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",90,74
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",88,85
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,31,25
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",56,56
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",81,83
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",90,100
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,91,98
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",48,48
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",93,83
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,36,46
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",92,87
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",88,98
What is normalization in a database?,It makes the database normal and easy to read. ,41,40
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",55,85
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",81,74
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",40,41
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",55,64
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,24,34
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,11,64
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",67,72
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",93,90
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",54,36
Explain the concept of REST APIs.,It's an API that lets you download data. ,28,45
What is normalization in a database?,It makes the database normal and easy to read. ,16,48
Explain how a hash map works.,It's just an array that stores things inside it. ,35,16
What is normalization in a database?,It makes the database normal and easy to read. ,11,66
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",65,61
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",95,84
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,26,34
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",70,39
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,29,24
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",66,35
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",42,35
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",70,55
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,36,69
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,24,32
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",73,39
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,89,92
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",66,63
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",61,41
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",64,60
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",62,26
